,Lat,Lon,Ispark,Full_name,URL,freq_count2
56,52.873383,-117.9542939,True,Jasper National Park Of Canada,https://www.google.com/maps/place/?q=place_id:ChIJG4dCkcspg1MRktGbzm1KcuE,38
57,51.1496809,-100.0499383,False,Dauphin,https://www.google.com/maps/place/?q=place_id:ChIJmXUKJrLt5VIR0TBXYq_6MNs,1
59,53.7266683,-127.6476206,False,British Columbia,https://www.google.com/maps/place/?q=place_id:ChIJr2prqsdmelMR-fHnN-lBG4g,6
60,50.6586063,-99.96833079999999,False,Wasagaming,https://www.google.com/maps/place/?q=place_id:ChIJV0J3RmgU5lIR4VBtymHSjK4,1
62,44.8743165,-79.8699554,True,Georgian Bay Islands National Park,https://www.google.com/maps/place/?q=place_id:ChIJGZL18IEdK00RbaSpgKMwVpc,3
64,45.4621827,-76.2631971,True,Morris Island Conservation Area,https://www.google.com/maps/place/?q=place_id:ChIJQ6Vylp6M0UwR7dkokyDwaag,1
67,61.30262599999999,-73.683306,True,Pingualuit National Park,https://www.google.com/maps/place/?q=place_id:ChIJ4Xg-j_QRyU0RqbbVV-vS3Gg,1
68,43.9577511,-77.5257968,True,North Beach Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJ44q615lB1okRbhBU_7sh7zg,1
71,52.9399159,-73.5491361,False,Nord-du-Québec,https://www.google.com/maps/place/?q=place_id:ChIJdcpHraWh-EwR92llRjrK-s0,1
72,51.1784304,-115.5707903,False,Banff,https://www.google.com/maps/place/?q=place_id:ChIJ_UoMkUXKcFMRY5Ss2r6ur8o,8
74,45.2571585,-81.6562794,True,Fathom Five National Marine Park,https://www.google.com/maps/place/?q=place_id:ChIJoclxo_MKLU0RAeTfEhj_gfc,3
76,46.4264574,-63.17394669999999,True,Prince Edward Island National Park,https://www.google.com/maps/place/?q=place_id:ChIJ26LfMQm4X0sRhkMDcLeKSBQ,9
82,49.0858903,-111.6195612,True,Writing-on-Stone Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJ1xz7JkHsa1MRNB9usHgthkM,4
85,48.300742,-70.33531099999999,True,Saguenay Fjord National Park,https://www.google.com/maps/place/?q=place_id:ChIJscBb24Dhv0wRookaGy6dTaE,1
86,47.992417,-84.77105879999999,False,Wawa,https://www.google.com/maps/place/?q=place_id:ChIJx2k5NVYKR00RFQ9a_JSNPGM,1
87,48.8316351,-64.4869016,False,Gaspé,https://www.google.com/maps/place/?q=place_id:ChIJq55ftyO_m0wRVQHxla79cUk,1
88,45.3378006,-78.0226685,True,Lake Saint Peter Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJnXJwsWs51EwRU40COk-BTOE,1
